city,lat,lng,country,iso2,admin_name,capital,population,population_proper,elevation
Rājapālaiyam,9.4204,77.58,India,IN,Tamil Nādu,,369991.0,307959.0,147
Ahmadnagar,19.0833,74.7333,India,IN,Mahārāshtra,,350859.0,350859.0,644
Cuddapah,14.4667,78.8167,India,IN,Andhra Pradesh,,344893.0,344893.0,134
Rājahmundry,16.9833,81.7833,India,IN,Andhra Pradesh,,341831.0,341831.0,25
Alwar,27.5667,76.6167,India,IN,Rājasthān,,341422.0,341422.0,272
Muzaffarpur,26.12,85.3833,India,IN,Bihār,,333200.0,333200.0,59
Bilāspur,22.15,82.0167,India,IN,Chhattīsgarh,,331030.0,331030.0,277
Mathura,27.4833,77.6833,India,IN,Uttar Pradesh,,330511.0,330511.0,182
Kāmārhāti,22.67,88.37,India,IN,West Bengal,,330211.0,330211.0,10
Patiāla,30.3204,76.385,India,IN,Punjab,,329224.0,329224.0,258
Saugor,23.8504,78.75,India,IN,Madhya Pradesh,,328240.0,247333.0,522
Bijāpur,16.8244,75.7154,India,IN,Karnātaka,,327427.0,327427.0,606
Brahmapur,19.32,84.8,India,IN,Odisha,,324726.0,324726.0,22
Shāhjānpur,27.8804,79.905,India,IN,Uttar Pradesh,,320434.0,320434.0,155
Trichūr,10.52,76.21,India,IN,Kerala,,315596.0,315596.0,15
Barddhamān,23.25,87.85,India,IN,West Bengal,,314265.0,314265.0,40
Kulti,23.73,86.85,India,IN,West Bengal,,313809.0,313809.0,147
Sambalpur,21.4704,83.9701,India,IN,Odisha,,310852.0,162887.0,154
Purnea,25.78,87.47,India,IN,Bihār,,310817.0,310817.0,43
Hisar,29.1489,75.7367,India,IN,Haryāna,,307024.0,307024.0,212
Fīrozābād,27.15,78.3949,India,IN,Uttar Pradesh,,306409.0,306409.0,169
